Project Description,Location,Contractor,Cost,Completion Date
"Construction of Dinangasan River Control, Package 2, Catarman, Camiguin",CAMIGUIN,VICTORIANO C. LIM CONSTRUCTION CORPORATION (FORMERLY: VICTORIANO C. LIM CONSTRUCTION),66446314.65,01/29/2023
"Construction of Slope Protection Structure along Basak Section, Badian, Cebu",CEBU,QM BUILDERS,48996091.75,01/29/2023
"Construction of Flood Control Structure along Carriedo Bridge (Upstream), Phase I, Carriedo, Gubat, Sorsogon",SORSOGON,MUNTOPAR BUILDERS CORP.,67550000.0,01/29/2023
"Construction of River Protection Structure along Salog River, Bacacay, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,95535000.0,01/29/2023
"Construction of Shore Protection at Alimsog Buhatan, Sto. Domingo, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / KENZAI BUILDERS CORPORATION,94570000.0,01/29/2023
"Construction of Drainage Structure (Line Canal with Cover), Brgy. 1, Barangay I - Poblacion, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,4900000.0,01/29/2023
"Construction of Drainage Structure (Line Canal with Cover), Brgy. 3, Barangay III - Poblacion, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,4900000.0,01/29/2023
"Construction of Flood Control at Barangay Calbayog and Barangay San Roque, Malilipot, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,44100000.0,01/29/2023
"Drainage Rehabilitation, General Ricarte St., Brgy. San Juan, Cainta, Rizal",RIZAL,G.F. FABIAN CONSTRUCTION,9010591.78,01/29/2023
"Construction of Flood Control Structure along Labong River, Brgy. Villarosa (Phase 5), Licab, Nueva Ecija",NUEVA ECIJA,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES) / SOLFIO P. JACINTO CONSTRUCTION INC.,96500000.0,01/29/2023
"Improvement of Waterway and Flood Control Structure along Balagtas River (Tributary) Brgy. Panginay to Wawa, Balagtas, Bulacan",BULACAN,R2A CONSTRUCTION & TRADING CORPORATION,69479572.96,01/29/2023
"Construction of Flood Control Structure, Barangay Hinukay, Baliuag, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),49499675.98,01/29/2023
"Construction of Manila North Road Drainage Tributary Outfall, Longos- Calumpit Section, Malolos City, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,47518704.12,01/29/2023
"Construction of Cagayan River Flood Control Project, Brgy. District 2, Reina Mercedes, Isabela",ISABELA,CAMBERWELL CONSTRUCTION AND SUPPLIES / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),95052496.94,01/29/2023
"Maintenance/Rehabilitation of Flood Control Structures, Brgy. Sta. Lucia, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,72548700.0,01/29/2023
"Construction of Lower Sakakang Flood Control Structure, Sta. 117+620 - Sta. 118+070 (R.S.), Sta. 117+830 - Sta. 118+180 (L.S.), Bacarri, Paracelis, Mountain Province",MOUNTAIN PROVINCE,MG SAMIDAN CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,81060000.0,01/29/2023
"Construction of Sula Seawall, Barangay Sula, Vinzons, Camarines Norte",CAMARINES NORTE,BRENTMIN ROOFING ENTERPRISE,49214258.35,01/28/2023
"Bank Improvement along Angat River, Sta. 0 + 290 to Sta. 0 + 530, Sabang Section, Baliuag, Bulacan",BULACAN,DMLC BUILDERS,65273430.18,01/28/2023
"Construction of Flood Control Structure, Brgy. Tangos, Baliuag, Bulacan",BULACAN,STAR WILLIAM CONSTRUCTION,49499816.61,01/28/2023
"Rehabilitation of Balagtas River Control Structure, Sta. 00+000 to Sta. 00+392, Brgy. Pulong Gubat, Balagtas, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",48997800.81,01/28/2023
"Construction of Drainage Canal along Gov. Pascual to River, Orani, Bataan",BATAAN,AS MACHA CONSTRUCTION AND TRADING,14849989.69,01/28/2023
"Construction of Revetment, Kabacan River Flood Control (Sta. 29+286 - Sta. 29+671 right bank, Matalam, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,46723426.11,01/27/2023
"Construction of River Bank Protection along Baclayon River (Phase 1), Labanon Section, Barangay Basud, Bacacay, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,19600000.0,01/27/2023
"Construction of River Bank Protection along Baclayon River (Phase 2), Labanon Section, Barangay Basud, Bacacay, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,14700000.0,01/27/2023
"Rehabilitation of Balagtas River Control Structure, Sta. 02+272 to Sta. 02+664, Brgy. Dalig, Balagtas, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",48999277.98,01/27/2023
"Construction of Riverbank Protection along Bocaue River Brgy. Taal Bocaue, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),57899155.37,01/27/2023
"Construction of Riverbank Protection along Bocaue River Brgy. Caingin Bocaue, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",57899074.35,01/27/2023
"Construction of Riverwall (Phase 2), Barangay Dampalit, Malabon City",MALABON CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,49500000.0,01/27/2023
"Rechanneling of Baay River, Lagangilang Section, Lagangilang, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,96497135.0,01/27/2023
"Construction of Flood Control Structure along Poblacion, Sta. 11 + 100 - Sta. 11 + 600, Lagayan, Abra",ABRA,739 BUILDERS,48997999.8,01/27/2023
"Construction of Flood Control Structure and Improvement of Waterways at Brgy. Sulivan, Baliuag, Bulacan",BULACAN,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,48999405.84,01/26/2023
"Construction of Flood Control Structure along Quiaoit River (Phase I), Brgy. Mabaleng, Batac City, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,77199998.73,01/26/2023
"Construction of Flood Control Structure along Quiaoit River (Phase II), Brgy. Mabaleng, Batac City, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,77199998.15,01/26/2023
"Construction of Abang Flood Control, Barangay Abang, Bucay, Abra",ABRA,739 BUILDERS,49496925.65,01/26/2023
"Construction of Abang Flood Control Structure (Phase 2), Barangay Abang, Bucay, Abra",ABRA,739 BUILDERS,49497477.49,01/26/2023
"Construction of Kalaneg River Control, Maitum, Sarangani",SARANGANI,"JDRC CONSTRUCTION & SUPPLIES, CORP.",86849785.36,01/25/2023
"Construction of Drainage System leading to Roxas Maindrain, Davao City",DAVAO DEL SUR,MITZ CONSTRUCTION AND SUPPLY / O. G. SANTOS CONSTRUCTION,96500000.0,01/25/2023
"Construction of Canturing Flood Control (Canturing-Nasaug Section), Maasin City, Southern Leyte",SOUTHERN LEYTE,JQD CONSTRUCTION & GENERAL SERVICES,24715027.7,01/25/2023
"Improvement of Balagtas River Waterways with Flood Control Structure, Sta. 0 + 000 to Sta. 0 + 540, Longos, Balagtas, Bulacan",BULACAN,AZUL BUILDERS / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),86849456.87,01/25/2023
"Construction of Revetment at Pandam River, Phase 2, Orion, Bataan",BATAAN,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION / R.R. ENCABO CONSTRUCTORS INCORPORATED (FORMERLY RR,34650000.0,01/25/2023
"Construction of Flood Mitigation Structure along Caraga River (Cut-Off Channel), Sta. 0+000 - Sta. 0+750, Caraga, Davao Oriental",DAVAO ORIENTAL,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,92989850.86,01/24/2023
"Construction of Flood Control Structure, Brgy. Pinangumhan, Biliran, Biliran",BILIRAN,"EZJONES CONSTRUCTION INC. / ROVING PREMIER CONTRACTORS, INC.",96499745.52,01/24/2023
"Construction of Flood Mitigation Structures along Larena-Basac-Maria Road, Siquijor",SIQUIJOR,JASA GD 2000 CONSTRUCTION CORPORATION (FORMERLY:JASA BUILDER'S),96499997.28,01/24/2023
"Construction of Pagatban River Contriol, Upstream A, Pagatban, Negros Oriental",NEGROS ORIENTAL,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",49000000.0,01/24/2023
"Improvement of Riverbank along Parale River, Sta. 0 + 000 - Sta. 0 + 700, Malabuyoc, Cebu",CEBU,QM BUILDERS,96499958.77,01/24/2023
"Improvement of Riverbank, Sta. 0 + 000 - Sta. 0 + 651, Madredijos, Alegria, Cebu",CEBU,QM BUILDERS,96499992.71,01/24/2023
"Construction of Flood Mitigation Structure at Langoyon River, Barangay Mangga, Sta. 0+607 - Sta. 0+916, Tuburan, Cebu",CEBU,VEN RAY CONSTRUCTION CORPORATION,48049193.6,01/24/2023
"Construction of Quinale ""A"" River Flood Mitigation Structure (Polangui and Libon Section), Polangui, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,192707498.05,01/24/2023
"Construction of Flood Control Structure, Poblacion, San Luis, Batangas",BATANGAS,TCSC CORP.,78404898.22,01/24/2023
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package I), San Jose, Tarlac",TARLAC,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,94381900.0,01/24/2023
"Construction of Road Slope Protection along San Jose, Tarlac - Palauig, Zambales Road (Package J), San Jose, Tarlac",TARLAC,CHIARA2300 INCORPORATED / LOUREL DEVELOPMENT CORPORATION (FORMERLY :LOUREL D,94372250.0,01/24/2023
"Construction of Flood Control Structure along Andulan River, Brgy. Capitan Tomas, Rosales, Pangasinan",PANGASINAN,RIVBROS CONSTRUCTION FACTORS & DEVELOPMENT,47531186.52,01/24/2023
"Construction of Pet-Okan Naybaliw Creek Flood Control, Duacan, Kabayan, Benguet",BENGUET,AROBOAN CONSTRUCTION AND SUPPLY,9793460.31,01/24/2023
"Construction of Flood Control Structure, Canan - Poblacion, Barangay Canan and Poblacion, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,96497900.0,01/24/2023
"Construction of Revetment along Kabacan River (Alegria Section) Brgy. Alegria, President Roxas, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,48999217.01,01/23/2023
"Construction of Revetment along Manat River leading to Agusan River at Inambatan Bridge (Upstream), Brgy. Olaycon, Monkayo, Davao de Oro",DAVAO DE ORO,TYER ONE CONSTRUCTION CORPORATION / RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),67549125.73,01/23/2023
"Construction of Tide Protection Embankment, Brgy Silad, Villaba, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,48754999.65,01/23/2023
"Construction of Tide Protection Embankment, Silad Port (Right Side), Brgy. Silad, Villaba, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,48019999.8,01/23/2023
"Rehabilitation of Slope Protection along Mariveles Zigzag Road, FAB, Mariveles, Bataan",BATAAN,A.T.P. CONSTRUCTION,24500000.0,01/23/2023
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+229), Brgy. Camunatan, City of Ilagan, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),43898080.0,01/23/2023
"Construction of Riverbank Protection Structure along Barangay Pantal, Dagupan City, Pangasinan",PANGASINAN,ARCINUE COMM'L CORPORATION,48995746.66,01/23/2023
"Construction of Box Culvert along M. Naval St. from Badeo 5 to F. Pascual St., Navotas City",NAVOTAS CITY,CATTECORYLL CONSTRUCTION & TRADING CORP,24499335.42,01/23/2023
"Construction of Dun-ol Sangab Flood Control along Pasil River Sta.175+270 - Sta 175+630 (L.S.), Amdalao, Guina-ang, Pasil, Kalinga",KALINGA,BLESSING BUILDERS AND CONSTRUCTION SUPPLY,19939080.0,01/23/2023
"Construction of Flood Mitigation Structure along Lanca-Luban-Cabuaya Creek, Sta. 0+000 - Sta. 1+800, Mati City, Davao Oriental",DAVAO ORIENTAL,MAVERICK BUILDERS INCORPORATED (FORMERLY MAVERICK,94474095.6,01/22/2023
"Construction of Saug River Flood Control, Asuncion, Davao del Norte",DAVAO DEL NORTE,"R.A. PAHATI CONST. & SUPPLY, INC.",86850000.0,01/22/2023
"Construction/ Rehabilitation of Padang River Flood Mitigation Structure, Brgy. Buyuan and Brgy. Padang, Legazpi City, Albay",ALBAY,MAKAPA CORPORATION,47123519.5,01/22/2023
"Construction of Drainage System at San Antonio de Padua Village, Barangay Putik, Zamboanga City, Zamboanga del Sur",ZAMBOANGA DEL SUR,SHERKAD CONSTRUCTION,4948757.89,01/22/2023
"Improvement of Waterway along Cainta River, Brgy. Sto. Domingo, Cainta, Rizal",RIZAL,5-1 CONSTRUCTION CORPORATION,19592817.96,01/22/2023
"Construction of Flood Control Structures along Bocaue River, Bocaue, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,96499940.4,01/22/2023
"Construction of Bancagan-Pagala Flood Control, Bucay, Abra",ABRA,739 BUILDERS,48998000.0,01/22/2023
"Construction of Binalbagan River Bank Slope Protection (Upstream of Binalbagan Bagacay Bridge) Along Hinigaran-Isabela Rd, Negros Occidental (Phase III Right Bank)",NEGROS OCCIDENTAL,R.A. CONSTRUCTION DEVELOPMENT CORPORATION (FORMERLY: R.A. CONSTRUCTION & GENERAL MERCHANDISE) / JAIME B. CHING ENTERPRISES,96499995.37,01/21/2023
"Construction of Flood Control Structure of Imbang River (Both Stream) along Bacolod North Rd, Silay City, Negros Occidental",NEGROS OCCIDENTAL,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC. / CBCL CONSTRUCTION & SUPPLY,90707998.0,01/21/2023
"Construction of Flood Mitigation Structure, Barangay Quipia River, Jovellar, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,4949357.65,01/21/2023
"Construction of Seawall, Catanauan, Quezon",QUEZON,RAPID FOREMOST CONST. CO.,96500000.0,01/21/2023
"Construction of Revetment along Tinagacan-Buayan River (Phase 3), Brgy. Tinagacan, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,91629683.47,01/20/2023
"Construction of Shore Protection, Old Road Sagkahan, Tacloban City",LEYTE,LEDA CONSTRUCTION INCORPORATED,48013198.2,01/20/2023
"Repair/Rehabilitation/Reconstruction of Flood Control along Manjuyod River (Upstream) Brgy Sta Monica, Manjuyod, Negros Oriental",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,39907110.08,01/20/2023
"Rehabilitation of Soa River Flood Control (Downstream), Soa, Malinao, Albay",ALBAY,WEARR ENTERPRISES & DEVELOPMENT CORP.,47040000.0,01/20/2023
"Construction of Flood Mitigation Facility/Drainage System along Bued River (Tributaries) Sta. 0+190 - Sta. 0+640, Baguio City",BENGUET,GOLDRICH CONSTRUCTION & TRADING,49000000.0,01/20/2023
"Construction of Flood Mitigation Facility/Drainage System along Bued River (Tributaries), Sta. 0+030 - Sta. 0+530, Baguio City",BENGUET,GOLDRICH CONSTRUCTION & TRADING,49000000.0,01/20/2023
"Construction of Sinalang Flood Control, Barangays Namarabar & Riang, Peñarrubia, Abra",ABRA,739 BUILDERS,49497153.28,01/20/2023
"Construction of Dike along Sadpudon Creek, Carmen, Davao del Norte",DAVAO DEL NORTE,RUPLINO SEISMUNDO CONSTRUCTION CORPORATION (FORMERLY: R.R. SEISMUNDO CONSTRUCTION & SUPPLY),19600000.0,01/19/2023
"Construction of Revetment, Downstream and Upstream of San Miguel Bridge (B01432MN) along Maramag-Maradugao Road, Bukidnon",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,67550000.0,01/19/2023
"Construction of Guintubhan River Bank Slope (Upstream of Guintubhan Br.) along Binalbagan - Isabela Road (Right Bank, Phase II), Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),96498863.82,01/19/2023
"Construction of Slope Protection, Brgy. Mahabang Parang (Package 2), Angono, Rizal",RIZAL,D.R. ROBLES CONSTRUCTION,9402844.07,01/19/2023
"Construction of Revetment along Manila Bay, Brgy. San Salcedo, Noveleta, Cavite",CAVITE,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",89745000.0,01/19/2023
"Construction of Slope Protection and Canal Structure of Porac - Gumain RIS, Guagua, Pampanga",PAMPANGA,"TOKWING CONSTRUCTION, CORP.(FOR; TOKWING CONSTRUC",77188819.91,01/19/2023
"Construction of Dannal Flood Control Structure, Sta. 076+960 - Sta. 077+660 (R.S.), Anonat, Paracelis, Mountain Province",MOUNTAIN PROVINCE,ED1SON DEVELOPMENT & CONSTRUCTION INC. / GAWIS CONSTRUCTION SERVICES,69960570.0,01/19/2023
"Construction of Flood Control Structure at Barangay Poblacion, Baay-Licuan, Abra",ABRA,739 BUILDERS,48998000.0,01/19/2023
"Construction of Buhangin River Bank Slope Protection (Downstream of Taburda Bridge) along Vallehermoso-Canla-on City-La Castellana Road, Negros Occidental",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,96500000.0,01/18/2023
"Construction/Improvement of Flood Control Structure along Panagan River, Sta. 0+300 - Sta.0+600 (upstream), Sta. 0+401.05 - Sta. 0+701.05 (downstream), Tigaon, Camarines Sur",CAMARINES SUR,PARTIDO CONSTRUCTION & SUPPLY,82025000.0,01/18/2023
"Rehabilitation of Dike along Bangut River (Brgy. Sta. Lucia Section, Sta. 1+640 to Sta. 2+200), Capas, Tarlac",TARLAC,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,96496291.64,01/18/2023
"Construction of Marao Flood Control Structure, Marao River Basin, Left Side Bank, Brgy. Guinsangaan, Inopacan, Leyte",LEYTE,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / C N E CONSTRUCTION",95520631.32,01/17/2023
"Construction of Guintubhan River Bank Slope (Downstream of Guintubhan Br.) along Binalbagan - Isabela Road (Left Bank, Phase II), Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),96500000.0,01/17/2023
"Construction of Bongabong River Control, Brgy. Luna Section, Sta. 0+000 - Sta. 0+334, Bongabong, Oriental Mindoro",ORIENTAL MINDORO,TWENTY SIXTEEN CONSTRUCTION AND GENERAL MERCHANDISE / LUMEL GLENN CONSTRUCTION,48999950.04,01/17/2023
"Construction of River Control along Sta. Cruz River, Sta. Cruz Section, Sta. Cruz, Laguna",LAGUNA,"JTC CRUZ CONSTRUCTION CO., INC.",78406729.84,01/17/2023
"Construction of Flood Mitigation Structure along Cagayan River - Phase II (Sta. 0+257 - Sta. 0+477), Malapagay, Sto. Tomas, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,48969896.0,01/17/2023
"Construction of Flood Mitigation Structures and Groundsill at Don Galo River - Moonwalk Creek Junction, District 2, Parañaque City",PARAÑAQUE CITY,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.) / P.L.G.L. CONSTRUCTION,77200000.0,01/17/2023
"Construction of Slope Protection along Lanipga Road, Brgy. Lanipga, Consolacion, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,96500000.0,01/16/2023
"Construction of Slope Protection along Panas Road, Brgy. Panas, Consolacion, Cebu (Package II)",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,96500000.0,01/16/2023
"Construction of Slope Protection along Panoypoy Road, Brgy. Panoypoy, Consolacion, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,96500000.0,01/16/2023
"Construction of Carcar River Flood Control Structure, Poblacion I, Sta. 0+000.00 - Sta. 0+504.00, Carcar City, Cebu",CEBU,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),91674735.35,01/16/2023
"Construction of Flood Mitigation Structure, Abuno River, Sta. 0+000.00 - Sta. 0+537.00, Minglanilla, Cebu",CEBU,PRIME GIGABUILD CONSTRUCTION CORP. (FORMERLY: RON DANIELL CONSTRUCTION CORPORATION),91675000.0,01/16/2023
"Construction of Flood Control Structure, Barangay 14, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,8820000.0,01/16/2023
"Construction of Casiguran Coastal Road, Casiguran, Sorsogon",SORSOGON,C.T. LEONCIO CONSTRUCTION & TRADING,48015009.98,01/16/2023
"Rehabilitation of Flood Control Structures along Halang Creek to Muntindilaw River, Antipolo City",RIZAL,BELL CONSTRUCTION,18433172.71,01/16/2023
"Construction of Flood Control Structure, Talolong River, Lopez, Quezon",QUEZON,MURIELEVEN BUILDERS AND CONSTRUCTION SUPPLY CORP.,29400000.0,01/16/2023
"Construction of San Luis Batis Pumping Station, Brgy. Batis, San Juan City",SAN JUAN CITY,R.D. TALENS CONSTRUCTION AND TRADING / NEW EASTPOINT BUILDERS CORP.,89838069.12,01/16/2023
"Construction of River Bank Protection (Revetment) at Esteros River-Upstream Phase II, Cotabato City",MAGUINDANAO DEL NORTE,ABU CONSTRUCTION,67549998.47,01/15/2023
"Construction of Drainage Canal in Barangay Tibal-og, Sto. Tomas, Davao del Norte",DAVAO DEL NORTE,"AB APONESTO CONSTRUCTION PARTS AND SUPPLY, INC.",4919156.22,01/15/2023
